PLAYER,PICK,TEAM,YEAR,G,MP,FG,FGA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,ADVANCED_WS,ADVANCED_BPM,ADVANCED_VORP,PER
Cade Cunningham,1,DET,2021,64.0,32.6,6.7,16.1,2.2,2.6,0.9,4.6,5.6,1.2,0.7,3.7,3.1,17.4,1.1,-0.6,1.6,12.9
Jalen Green,2,HOU,2021,67.0,31.9,6.1,14.2,2.8,3.5,0.5,2.9,2.6,0.7,0.3,2.0,1.5,17.3,5.6,-1.7,0.5,12.7
Evan Mobley,3,CLE,2021,69.0,33.8,6.1,12.0,2.4,3.7,2.1,6.2,2.5,0.8,1.7,1.9,2.1,15.0,19.3,1.6,5.9,15.7
Scottie Barnes,4,TOR,2021,74.0,35.4,6.2,12.6,2.1,2.9,2.6,4.9,3.5,1.1,0.7,1.8,2.6,15.3,15.9,1.5,6.5,15.3
Jalen Suggs,5,ORL,2021,48.0,27.2,4.1,11.4,2.6,3.4,0.5,3.0,4.4,1.2,0.4,3.0,3.0,11.8,4.5,-1.4,0.7,8.5
Josh Giddey,6,OKC,2021,54.0,31.5,5.2,12.4,1.0,1.5,1.8,6.0,6.4,0.9,0.4,3.2,1.6,12.5,8.6,0.7,4.1,13.0
Jonathan Kuminga,7,GSW,2021,70.0,16.9,3.4,6.6,1.9,2.7,0.8,2.6,0.9,0.4,0.3,1.1,2.1,9.3,10.1,-1.1,1.0,14.7
Franz Wagner,8,ORL,2021,79.0,30.7,5.8,12.3,2.4,2.8,1.1,3.4,2.9,0.9,0.4,1.5,2.1,15.2,15.7,0.1,3.9,14.8
Davion Mitchell,9,SAC,2021,75.0,27.7,4.7,11.2,0.7,1.1,0.4,1.8,4.2,0.7,0.3,1.5,1.9,11.5,3.0,-3.4,-1.6,10.5
Ziaire Williams,10,NOP,2021,62.0,21.7,3.1,6.8,0.7,0.9,0.4,1.7,1.0,0.6,0.2,0.7,1.8,8.1,2.6,-4.0,-1.5,9.4
James Bouknight,11,CHO,2021,31.0,9.8,1.6,4.5,0.9,1.0,0.7,1.0,0.8,0.2,0.0,0.5,0.9,4.6,-0.3,-5.9,-0.9,10.7
Joshua Primo,12,SAS,2021,50.0,19.3,2.0,5.4,0.9,1.2,0.6,1.6,1.6,0.4,0.5,1.1,1.6,5.8,-0.3,-5.3,-0.9,7.3
Chris Duarte,13,IND,2021,55.0,28.0,4.9,11.3,1.6,2.0,0.7,3.4,2.1,1.0,0.2,1.6,1.7,13.1,1.6,-3.1,-0.9,12.0
Moses Moody,14,GSW,2021,52.0,11.7,1.5,3.5,0.5,0.7,0.3,1.2,0.4,0.1,0.2,0.3,0.8,4.4,5.0,-1.5,0.4,9.7
Corey Kispert,15,WAS,2021,77.0,23.4,3.0,6.7,0.7,0.8,0.7,2.0,1.1,0.5,0.3,0.6,1.2,8.2,8.2,-2.0,0.0,10.6
Alperen Sengun,16,OKC,2021,72.0,20.7,3.5,7.3,2.3,3.2,1.9,3.5,2.6,0.8,0.9,2.0,3.0,9.6,14.2,2.0,5.8,15.8
Trey Murphy III,17,MEM,2021,62.0,13.9,1.8,4.5,0.7,0.8,0.8,1.6,0.6,0.4,0.1,0.3,1.0,5.4,14.9,1.5,4.4,12.1
Tre Mann,18,OKC,2021,60.0,22.8,3.9,9.8,1.1,1.4,0.4,2.4,1.5,0.8,0.2,1.2,1.7,10.4,1.8,-3.4,-1.2,9.7
Kai Jones,19,NYK,2021,21.0,3.0,0.4,0.7,0.1,0.4,0.1,0.4,0.2,0.0,0.1,0.3,0.4,1.0,0.7,-4.3,-0.4,5.6
Jalen Johnson,20,ATL,2021,22.0,5.5,1.0,1.9,0.2,0.3,0.1,1.1,0.1,0.1,0.1,0.4,0.4,2.4,6.0,0.6,2.0,10.5
Keon Johnson,21,NYK,2021,15.0,9.0,1.1,3.4,1.1,1.4,0.4,1.0,0.9,0.5,0.1,0.5,1.4,3.5,-0.9,-5.6,-1.1,8.8
Keon Johnson,21,NYK,2021,22.0,25.5,3.6,10.0,1.1,1.4,0.8,1.9,2.9,1.0,0.5,1.8,2.2,9.7,-0.9,-5.6,-1.1,8.4
Isaiah Jackson,22,LAL,2021,36.0,15.0,3.2,5.7,1.7,2.4,1.7,2.5,0.3,0.7,1.4,1.1,2.6,8.3,7.4,-0.2,1.1,20.2
Usman Garuba,23,HOU,2021,24.0,10.0,0.8,1.8,0.2,0.3,0.9,2.6,0.7,0.4,0.5,0.3,1.2,2.0,2.3,-1.4,0.2,12.8
Josh Christopher,24,HOU,2021,74.0,18.0,3.0,6.8,1.1,1.5,0.7,1.8,2.0,0.9,0.2,1.5,1.3,7.9,0.3,-3.8,-1.0,12.1
Quentin Grimes,25,LAC,2021,46.0,17.1,2.1,5.1,0.3,0.4,0.5,1.5,1.0,0.7,0.2,0.6,1.6,6.0,7.5,-0.7,1.3,9.9
Bones Hyland,26,DEN,2021,69.0,19.0,3.3,8.3,1.6,1.8,0.2,2.5,2.8,0.6,0.3,1.2,2.2,10.1,3.8,-1.1,0.6,14.0
Cam Thomas,27,BRK,2021,67.0,17.6,3.3,7.5,1.3,1.6,0.2,2.2,1.2,0.5,0.1,0.8,1.0,8.5,4.3,-2.2,-0.2,11.6
Jaden Springer,28,PHI,2021,2.0,3.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.5,0.0,1.0,0.8,-2.6,-0.1,26.2
Day'Ron Sharpe,29,PHO,2021,32.0,12.2,2.7,4.7,0.8,1.3,2.5,2.5,0.5,0.3,0.5,0.9,1.9,6.2,5.7,-1.3,0.3,20.8
Santi Aldama,30,UTA,2021,32.0,11.3,1.7,4.1,0.6,1.0,1.0,1.7,0.7,0.2,0.3,0.5,1.1,4.1,7.2,-0.4,1.4,10.5
Isaiah Todd,31,MIL,2021,12.0,6.2,0.6,2.2,0.2,0.5,0.3,0.8,0.3,0.3,0.2,0.3,0.3,1.7,-0.3,-10.2,-0.3,5.4
Jeremiah Robinson-Earl,32,NYK,2021,49.0,22.2,2.7,6.6,0.8,1.1,1.5,4.1,1.0,0.6,0.3,0.8,1.5,7.5,4.0,-1.9,0.0,11.4
Jason Preston,33,ORL,2021,,,,,,,,,,,,,,,0.1,-2.6,0.0,
Rokas Jokubaitis,34,OKC,2021,,,,,,,,,,,,,,,,,,
